Brand,HotelFeatures,HotelAttributes,KidsServices,Price,altID,obsID,qID,respID
Novotel,Large spacious rooms,Babysitting service,Kids eat free,AU 245,1,1,1,1
Intercontinental,Family activities located nearby,All inclusive,Kids themed rooms,AU 270,2,1,1,1
Hilton,Pool,Variety of restaurants,Kids themed rooms,AU 245,1,2,2,1
DoubleTree,Central or desirable location,Access to sports facilities,Kids activities planned by hotel staff,AU 270,2,2,2,1
DoubleTree,Family activities located nearby,Variety of restaurants,Kids activities planned by hotel staff,AU 270,1,3,3,1
Novotel,Pool,Access to sports facilities,Kids Club,AU 295,2,3,3,1
Marriott,Pool,Variety of restaurants,Playground or Kids only play areas,AU 245,1,4,4,1
Hilton,Central or desirable location,Access to sports facilities,Kids eat free,AU 270,2,4,4,1
DoubleTree,Central or desirable location,Variety of restaurants,Playground or Kids only play areas,AU 245,1,5,5,1
Novotel,Connected room guaranteed,Access to sports facilities,Kids eat free,AU 270,2,5,5,1
Intercontinental,Connected room guaranteed,Complimentary breakfast,Kids eat free,AU 195,1,6,6,1
Marriott,Large spacious rooms,Variety of restaurants,Kids themed rooms,AU 220,2,6,6,1
DoubleTree,Large spacious rooms,Babysitting service,Kids activities planned by hotel staff,AU 220,1,7,7,1
Novotel,Family activities located nearby,All inclusive,Kids Club,AU 245,2,7,7,1
Hilton,Pool,Babysitting service,Kids themed rooms,AU 245,1,8,8,1
DoubleTree,Central or desirable location,All inclusive,Kids activities planned by hotel staff,AU 270,2,8,8,1
Novotel,Pool,Babysitting service,Kids Club,AU 295,1,9,9,1
Intercontinental,Central or desirable location,All inclusive,Playground or Kids only play areas,AU 195,2,9,9,1
Novotel,Connected room guaranteed,Variety of restaurants,Playground or Kids only play areas,AU 220,1,10,10,1
Intercontinental,Large spacious rooms,Access to sports facilities,Kids eat free,AU 245,2,10,10,1
DoubleTree,Family activities located nearby,All inclusive,Kids themed rooms,AU 295,1,11,11,1
Novotel,Pool,Complimentary breakfast,Kids activities planned by hotel staff,AU 195,2,11,11,1
Novotel,Connected room guaranteed,All inclusive,Kids activities planned by hotel staff,AU 245,1,12,1,2
